# regs_2057_rev8, estratta da wlDSL-3580_EU.o_save (wl 6.30.102.7).
#
# Il record del blob e' sei byte: u16 address, u16 init, u8 do_init, u8 pad.
# 413 record, 2478 byte, l'ultimo e' il terminatore 0xffff.
#
# `patches/b43/MESSAGES.md#0013` porta in b43 solo le 39 voci con do_init=1, che sono quelle
# che il driver proprietario scrive davvero all'init del radio. Le altre 373
# stanno qui perche' sono dati che abbiamo e che serviranno: 51 di esse le
# riprogramma il cambio canale dalla chantab, 322 non le scrive nessuno.
# Vedi docs/gap-inventory.md 4h.
#
# Si rigenera con:
#   ./reverse-tools/blob_tables.py --dump regs_2057_rev8 -- <blob>
#
#
# La riga che si puo' tracciare fra le 412, e che le partiziona senza sovrapporsi:
#
#   init      39   il flag del blob: le scrive all'init del radio. Sono quelle
#                  che patches/b43/MESSAGES.md#0013 porta in b43.
#   chan      51   le riprogramma il cambio canale o una cal, dalla chantab e non
#                  da qui: vcocal, RFPLL loopfilter, MMD, i LOGEN_*_TUNE. 31
#                  scritture ciascuna nella cattura, uno per cambio canale.
#   altrarev  42   hanno il flag in regs_2057_rev4/rev5/rev5v1/rev7 di brcmsmac
#                  ma non nel rev8: la tabella e' un superset condiviso fra
#                  revisioni e il flag seleziona.
#   ignota   280   nessuna revisione le segna e nessuno le scrive, mai, in 70796
#                  record. La distribuzione per banco e' da ricalcolare, vedi
#                  docs/gap-inventory.md 4h.
#
# I 21 registri che il rev8 di brcmsmac segna e il blob no cadono tutti e 21 in
# `altrarev`: brcmsmac scriverebbe all'init l'init di un altro radio. E' il set
# dello stub che impianta il BCM6362 con "Microcode not responding".
#
# addr   init  classe    do_init
0x00a6  0x22  ignota    0
0x00a7  0xbe  ignota    0
0x00a8  0x55  altrarev  0
0x00aa  0x0c  ignota    0
0x00ab  0xaa  ignota    0
0x00ac  0x02  ignota    0
0x00ad  0x00  ignota    0
0x00ae  0x10  ignota    0
0x00af  0x01  altrarev  0
0x00b0  0x00  ignota    0
0x00b1  0x00  ignota    0
0x00b2  0x80  ignota    0
0x00b3  0x60  ignota    0
0x00b4  0x44  chan      0
0x00b5  0x55  ignota    0
0x00b6  0x01  ignota    0
0x00b7  0x55  ignota    0
0x00b8  0x01  ignota    0
0x00b9  0x05  ignota    0
0x00ba  0x55  ignota    0
0x00bb  0x55  ignota    0
0x00c1  0x00  ignota    0
0x00c2  0x00  ignota    0
0x00c3  0x00  ignota    0
0x00c4  0x00  ignota    0
0x00c5  0x00  ignota    0
0x00c6  0x00  ignota    0
0x00c7  0x00  ignota    0
0x00c8  0x00  ignota    0
0x00c9  0x01  init      1
0x00ca  0x00  ignota    0
0x00cb  0x00  ignota    0
0x00cc  0x00  ignota    0
0x00cd  0x00  ignota    0
0x00ce  0x5e  chan      0
0x00cf  0x0c  ignota    0
0x00d0  0x0c  ignota    0
0x00d1  0x0c  ignota    0
0x00d2  0x00  ignota    0
0x00d3  0x2b  ignota    0
0x00d4  0x0c  ignota    0
0x00d5  0x00  ignota    0
0x00d6  0x70  init      1
0x00db  0x07  ignota    0
0x00dc  0x00  ignota    0
0x00dd  0x00  ignota    0
0x00de  0x88  init      1
0x00df  0x00  ignota    0
0x00e0  0x1f  ignota    0
0x00e1  0x20  init      1
0x00e2  0x01  ignota    0
0x00e3  0x30  chan      0
0x00e4  0x70  ignota    0
0x00e5  0x00  ignota    0
0x00e6  0x00  ignota    0
0x00e7  0x33  ignota    0
0x00e8  0x0f  init      1
0x00e9  0x13  init      1
0x00ea  0x00  ignota    0
0x00eb  0xee  init      1
0x00ee  0x00  ignota    0
0x00ef  0x7e  ignota    0
0x00f0  0x3f  ignota    0
0x00f1  0x7f  ignota    0
0x00f2  0x78  ignota    0
0x00f3  0x58  init      1
0x00f4  0x88  ignota    0
0x00f5  0x08  chan      0
0x00f6  0x0f  ignota    0
0x00f7  0xbc  ignota    0
0x00f8  0x08  chan      0
0x00f9  0x60  chan      0
0x00fa  0x1a  init      1
0x00fb  0x70  ignota    0
0x00fc  0x00  ignota    0
0x00fd  0x00  ignota    0
0x00fe  0x00  ignota    0
0x00ff  0x33  ignota    0
0x0100  0x1a  init      1
0x0101  0x14  init      1
0x0102  0xee  init      1
0x0105  0x3c  ignota    0
0x0106  0x01  init      1
0x0107  0x0a  ignota    0
0x0108  0x9d  ignota    0
0x0109  0x0a  ignota    0
0x010a  0x00  ignota    0
0x010b  0x40  ignota    0
0x010c  0x40  ignota    0
0x010d  0x88  ignota    0
0x010e  0x10  ignota    0
0x010f  0xf0  altrarev  0
0x0110  0x10  altrarev  0
0x0111  0xf0  altrarev  0
0x0112  0x00  ignota    0
0x0113  0x00  ignota    0
0x0114  0x10  ignota    0
0x0115  0x55  ignota    0
0x0116  0x3f  init      1
0x0117  0x36  init      1
0x0118  0x00  ignota    0
0x0119  0x00  ignota    0
0x011a  0x00  ignota    0
0x011b  0x87  ignota    0
0x011c  0x11  ignota    0
0x011d  0x00  ignota    0
0x011e  0x33  ignota    0
0x011f  0x88  chan      0
0x0120  0x00  ignota    0
0x0121  0x87  ignota    0
0x0122  0x11  ignota    0
0x0123  0x00  ignota    0
0x0124  0x33  ignota    0
0x0125  0x88  chan      0
0x0126  0x20  init      1
0x0127  0x3f  ignota    0
0x0128  0x44  ignota    0
0x0129  0x8c  altrarev  0
0x012a  0x6c  ignota    0
0x012b  0x22  ignota    0
0x012c  0xbe  ignota    0
0x012d  0x55  altrarev  0
0x012f  0x0c  ignota    0
0x0130  0xaa  ignota    0
0x0131  0x02  ignota    0
0x0132  0x00  ignota    0
0x0133  0x10  ignota    0
0x0134  0x01  altrarev  0
0x0135  0x00  ignota    0
0x0136  0x00  ignota    0
0x0137  0x80  ignota    0
0x0138  0x60  ignota    0
0x0139  0x44  chan      0
0x013a  0x55  ignota    0
0x013b  0x01  ignota    0
0x013c  0x55  ignota    0
0x013d  0x01  ignota    0
0x013e  0x05  ignota    0
0x013f  0x55  ignota    0
0x0140  0x55  ignota    0
0x0146  0x00  ignota    0
0x0147  0x00  ignota    0
0x0148  0x00  ignota    0
0x0149  0x00  ignota    0
0x014a  0x00  ignota    0
0x014b  0x00  ignota    0
0x014c  0x00  ignota    0
0x014d  0x00  ignota    0
0x014e  0x01  init      1
0x014f  0x00  ignota    0
0x0150  0x00  ignota    0
0x0151  0x00  ignota    0
0x0154  0x0c  ignota    0
0x0155  0x0c  ignota    0
0x0156  0x0c  ignota    0
0x0157  0x00  ignota    0
0x0158  0x2b  ignota    0
0x0159  0x84  ignota    0
0x015a  0x15  ignota    0
0x015b  0x0f  ignota    0
0x015c  0x00  ignota    0
0x015d  0x00  ignota    0
0x015e  0x00  altrarev  0
0x015f  0x00  altrarev  0
0x0160  0x00  altrarev  0
0x0161  0x00  altrarev  0
0x0162  0x00  altrarev  0
0x0163  0x00  altrarev  0
0x0164  0x00  chan      0
0x0165  0x00  ignota    0
0x0166  0x00  ignota    0
0x0167  0x00  ignota    0
0x0168  0x00  ignota    0
0x0169  0x00  altrarev  0
0x016a  0x00  altrarev  0
